Country,Year,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Greece,2020,5.514999866,5.606986046,5.423013687,2.016179085,1.128070116,1.168973565,0.979431748,0.173516348,0,0.048844352
Hong Kong S.A.R. of China,2020,5.510399818,5.600596905,5.420202732,0.673293114,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437
Croatia,2020,5.504700184,5.578756332,5.430644035,1.676029205,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006
Libya,2020,5.488800049,5.607727528,5.36987257,1.888563156,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079
Mongolia,2020,5.456200123,5.535213947,5.377186298,1.810527563,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126
Malaysia,2020,5.384300232,5.479953289,5.288647175,1.319420815,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133
Vietnam,2020,5.353499889,5.41974926,5.287250519,1.685977936,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459
Indonesia,2020,5.285600185,5.379077435,5.192122936,1.479573488,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613
Ivory Coast,2020,5.233300209,5.376567364,5.090033054,3.081022501,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794
Benin,2020,5.21600008,5.368408203,5.063591957,3.440809727,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874
Maldives,2020,5.197599888,5.338691235,5.056508541,1.098674774,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492
Congo (Brazzaville),2020,5.194399834,5.345376492,5.043423176,2.722619534,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784
Azerbaijan,2020,5.164800167,5.231826782,5.097773552,1.507632971,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181
Macedonia,2020,5.159800053,5.251452446,5.068147659,1.617594957,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059
Ghana,2020,5.147999763,5.262923717,5.033075809,2.378437281,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381
Nepal,2020,5.137199879,5.250276566,5.024123192,2.014386892,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963
Turkey,2020,5.131800175,5.20988369,5.05371666,1.564816713,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243
China,2020,5.123899937,5.174667358,5.073132515,1.336181879,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554
Turkmenistan,2020,5.119100094,5.17668438,5.061515808,1.115337372,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389
Bulgaria,2020,5.101500034,5.188173294,5.014826775,1.294961452,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0
Morocco,2020,5.094799995,5.203875065,4.985724926,2.378402472,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604
Cameroon,2020,5.084899902,5.216800213,4.952999592,2.719370842,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422
Venezuela,2020,5.053199768,5.179189682,4.927209854,1.74484086,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777
Algeria,2020,5.005099773,5.09180212,4.918397427,1.840811729,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654
Senegal,2020,4.980800152,5.084227562,4.877372742,2.405123949,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937
Guinea,2020,4.949299812,5.09246254,4.806137085,2.740729809,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559
Niger,2020,4.909599781,5.060927868,4.758271694,3.017630577,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765
Laos,2020,4.888599873,4.967526436,4.809673309,1.621152639,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964
Albania,2020,4.882699966,4.992686749,4.772713184,1.640897036,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285
Cambodia,2020,4.848400116,4.962093353,4.734706879,1.663300037,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502
Bangladesh,2020,4.832799911,4.911443233,4.75415659,1.755261898,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908
Gabon,2020,4.829299927,4.947425842,4.711174011,1.735027552,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539
South Africa,2020,4.814099789,4.931746006,4.696453571,1.625117302,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214
Iraq,2020,4.784800053,4.937272072,4.632328033,1.752173662,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992
Lebanon,2020,4.771500111,4.857257843,4.685742378,1.53554225,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147
Burkina Faso,2020,4.768700123,4.890351772,4.647048473,2.588826418,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055
Gambia,2020,4.750599861,4.882240772,4.61895895,2.270216465,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795
Mali,2020,4.729300022,4.855451107,4.603148937,2.559335232,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276
Nigeria,2020,4.724100113,4.826248169,4.621952057,2.219635487,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935
Armenia,2020,4.676799774,4.791646481,4.561953068,1.468161583,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184
Georgia,2020,4.672599792,4.757698059,4.587501526,1.69239831,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076
Iran,2020,4.672399998,4.78192091,4.562879086,1.286969423,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513
Jordan,2020,4.633399963,4.748552322,4.518247604,1.262258053,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625
Mozambique,2020,4.623600006,4.778996944,4.468203068,2.221216202,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316
Kenya,2020,4.583000183,4.715898037,4.450102329,1.684904575,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078
Namibia,2020,4.571100235,4.690628052,4.451572418,1.503033161,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343
Ukraine,2020,4.56069994,4.658080578,4.463319302,1.252669334,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116
Liberia,2020,4.557899952,4.71853447,4.397265434,2.386757851,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876
Palestinian Territories,2020,4.552800179,4.662314892,4.443285465,1.693985701,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652
Uganda,2020,4.43200016,4.566251278,4.297749043,1.958671093,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842
Chad,2020,4.422699928,4.570153236,4.27524662,2.74742651,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408
Tunisia,2020,4.392199993,4.489554405,4.294845581,1.528496742,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573
Mauritania,2020,4.374599934,4.482583046,4.266616821,1.85955739,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635
Sri Lanka,2020,4.327000141,4.431047916,4.222952366,0.611288548,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564
Congo (Kinshasa),2020,4.31099987,4.524636269,4.097363472,2.437864304,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645
Swaziland,2020,4.308100224,4.448145866,4.168054581,1.686207294,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873
Myanmar,2020,4.308000088,4.392180443,4.223819733,0.681462526,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354
Comoros,2020,4.288599968,4.453906536,4.1232934,2.17276907,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535
Togo,2020,4.187200069,4.309713364,4.064686775,2.409595251,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456
Ethiopia,2020,4.186200142,4.262473583,4.109926701,1.628459215,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035
Madagascar,2020,4.165599823,4.278382301,4.052817345,2.136298418,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638
Egypt,2020,4.151400089,4.221919537,4.080880642,1.158818245,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793
Sierra Leone,2020,3.926399946,4.046255589,3.806544304,2.046271801,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936
Burundi,2020,3.775300026,3.98526001,3.565340042,2.401507378,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828
Zambia,2020,3.759399891,3.878326178,3.640473604,1.134339333,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238
Haiti,2020,3.720799923,3.919667482,3.521932364,1.619916916,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672
Lesotho,2020,3.652800083,3.813757181,3.491842985,1.445513964,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823
India,2020,3.573299885,3.627596378,3.519003391,0.734130859,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982
Malawi,2020,3.538000107,3.675710678,3.400289536,1.552718282,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952
Yemen,2020,3.527400017,3.633549929,3.421250105,1.116472721,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127
Botswana,2020,3.478899956,3.597563744,3.360236168,0.257240534,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368
Tanzania,2020,3.476200104,3.600091219,3.352308989,0.718963385,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861
Central African Republic,2020,3.475899935,3.701658487,3.250141382,2.860197544,0.041072082,0,0,0.292814463,0.253513217,0.028264718
Rwanda,2020,3.312299967,3.415053368,3.209546566,0.548444986,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476
Zimbabwe,2020,3.299200058,3.414201975,3.184198141,0.841031075,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579
South Sudan,2020,2.816600084,3.027516365,2.605683804,1.378751278,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799
Afghanistan,2020,2.566900015,2.628270388,2.505529642,1.507235646,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785
Finland,2019,7.769,7.830,7.708,2.714,1.340,1.587,0.986,0.596,0.153,0.393
Denmark,2019,7.600,7.667,7.534,2.393,1.383,1.573,0.996,0.592,0.252,0.410
Norway,2019,7.554,7.616,7.492,2.241,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,2019,7.494,7.613,7.374,2.401,1.380,1.624,1.026,0.591,0.354,0.118
Netherlands,2019,7.488,7.542,7.433,2.393,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,2019,7.480,7.553,7.408,2.272,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,2019,7.343,7.416,7.270,2.246,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,2019,7.307,7.383,7.232,2.127,1.303,1.557,1.026,0.585,0.330,0.380
Canada,2019,7.278,7.357,7.200,2.193,1.365,1.505,1.039,0.584,0.285,0.308
Austria,2019,7.246,7.313,7.179,2.378,1.376,1.475,1.016,0.532,0.244,0.226
Australia,2019,7.228,7.315,7.141,2.094,1.372,1.548,1.036,0.557,0.332,0.290
Costa Rica,2019,7.167,7.254,7.081,2.933,1.034,1.441,0.963,0.558,0.144,0.093
Israel,2019,7.139,7.206,7.071,2.665,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,2019,7.090,7.152,7.028,1.954,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,2019,7.054,7.126,6.982,2.112,1.333,1.538,0.996,0.450,0.348,0.278
Ireland,2019,7.021,7.102,6.941,1.845,1.499,1.553,0.999,0.516,0.298,0.310
Germany,2019,6.985,7.045,6.925,2.150,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,2019,6.923,6.988,6.858,2.235,1.356,1.504,0.986,0.473,0.160,0.210
United States,2019,6.892,6.986,6.798,2.266,1.433,1.457,0.874,0.454,0.280,0.128
Czech Republic,2019,6.852,6.921,6.783,2.636,1.269,1.487,0.920,0.457,0.046,0.036
United Arab Emirates,2019,6.825,6.901,6.748,2.145,1.503,1.310,0.825,0.598,0.262,0.182
Malta,2019,6.726,6.810,6.642,1.816,1.300,1.520,0.999,0.564,0.375,0.151
Mexico,2019,6.595,6.687,6.502,2.761,1.070,1.323,0.861,0.433,0.074,0.073
France,2019,6.592,6.667,6.518,2.021,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan Province of China,2019,6.446,6.528,6.365,2.045,1.368,1.430,0.914,0.351,0.242,0.097
Chile,2019,6.444,6.534,6.354,2.397,1.159,1.369,0.920,0.357,0.187,0.056
Guatemala,2019,6.436,6.549,6.323,2.833,0.800,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,2019,6.375,6.481,6.268,2.169,1.403,1.357,0.795,0.439,0.080,0.132
Qatar,2019,6.374,6.568,6.181,1.565,1.684,1.313,0.871,0.555,0.220,0.167
Spain,2019,6.354,6.432,6.276,1.929,1.286,1.484,1.062,0.362,0.153,0.079
Panama,2019,6.321,6.433,6.209,2.141,1.149,1.442,0.910,0.516,0.109,0.054
Brazil,2019,6.300,6.403,6.197,2.480,1.004,1.439,0.802,0.390,0.099,0.086
Uruguay,2019,6.293,6.388,6.198,2.014,1.124,1.465,0.891,0.523,0.127,0.150
Singapore,2019,6.262,6.324,6.200,0.807,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,2019,6.253,6.362,6.144,2.831,0.794,1.242,0.789,0.430,0.093,0.074
Italy,2019,6.223,6.306,6.141,1.984,1.294,1.488,1.039,0.231,0.158,0.030
Bahrain,2019,6.199,6.324,6.075,1.698,1.362,1.368,0.871,0.536,0.255,0.110
Slovakia,2019,6.198,6.275,6.120,2.097,1.246,1.504,0.881,0.334,0.121,0.014
Trinidad and Tobago,2019,6.192,6.416,5.968,2.081,1.231,1.477,0.713,0.489,0.185,0.016
Poland,2019,6.182,6.269,6.094,2.003,1.206,1.438,0.884,0.483,0.117,0.050
Uzbekistan,2019,6.174,6.279,6.069,1.951,0.745,1.529,0.756,0.631,0.322,0.240
Lithuania,2019,6.149,6.236,6.062,2.202,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,2019,6.125,6.229,6.020,2.286,0.985,1.410,0.841,0.470,0.099,0.034
Slovenia,2019,6.118,6.209,6.026,1.618,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,2019,6.105,6.218,5.992,2.490,0.694,1.325,0.835,0.435,0.200,0.127
Kosovo,2019,6.100,6.199,6.001,2.469,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,2019,6.086,6.192,5.981,2.096,1.092,1.432,0.881,0.471,0.066,0.050
Romania,2019,6.070,6.163,5.976,2.302,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,2019,6.046,6.149,5.942,1.880,1.263,1.223,1.042,0.406,0.190,0.041
Ecuador,2019,6.028,6.130,5.925,2.225,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,2019,6.021,6.148,5.893,1.661,1.500,1.319,0.808,0.493,0.142,0.097
Thailand,2019,6.008,6.103,5.913,1.777,1.050,1.409,0.828,0.557,0.359,0.028
Latvia,2019,5.940,6.011,5.869,2.073,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,2019,5.895,5.984,5.805,1.949,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,2019,5.893,5.965,5.822,1.496,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,2019,5.890,6.126,5.653,2.125,0.831,1.478,0.831,0.490,0.107,0.028
Mauritius,2019,5.888,5.991,5.785,1.795,1.120,1.402,0.798,0.498,0.215,0.060
Japan,2019,5.886,5.970,5.802,1.399,1.327,1.419,1.088,0.445,0.069,0.140
Honduras,2019,5.860,5.987,5.734,2.323,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,2019,5.809,5.890,5.727,1.746,1.173,1.508,0.729,0.410,0.146,0.096
Bolivia,2019,5.779,5.876,5.683,2.376,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,2019,5.758,5.853,5.663,2.020,1.201,1.410,0.828,0.199,0.081,0.020
Paraguay,2019,5.743,5.837,5.648,1.857,0.855,1.475,0.777,0.514,0.184,0.080
North Cyprus,2019,5.718,5.819,5.616,1.390,1.263,1.252,1.042,0.417,0.191,0.162
Peru,2019,5.697,5.811,5.583,2.044,0.960,1.274,0.854,0.455,0.083,0.027
Portugal,2019,5.693,5.792,5.593,1.462,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,2019,5.653,5.732,5.574,2.924,0.677,0.886,0.535,0.313,0.220,0.098
Russia,2019,5.648,5.713,5.583,1.839,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,2019,5.631,5.744,5.519,2.092,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,2019,5.603,5.705,5.501,1.904,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,2019,5.529,5.604,5.453,2.350,0.685,1.328,0.739,0.245,0.181,0.000
Libya,2019,5.525,5.646,5.404,1.804,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,2019,5.523,5.621,5.425,1.822,1.051,1.361,0.871,0.197,0.142,0.080
Tajikistan,2019,5.467,5.568,5.366,2.397,0.493,1.098,0.718,0.389,0.230,0.144
Croatia,2019,5.432,5.510,5.354,1.660,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong S.A.R. of China,2019,5.430,5.523,5.337,0.609,1.438,1.277,1.122,0.440,0.258,0.287
Dominican Republic,2019,5.425,5.559,5.291,1.519,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,2019,5.386,5.477,5.296,1.905,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,2019,5.373,5.466,5.280,1.636,1.183,1.360,0.808,0.195,0.083,0.106
Malaysia,2019,5.339,5.461,5.216,1.326,1.221,1.171,0.828,0.508,0.260,0.024
Belarus,2019,5.323,5.392,5.253,1.531,1.067,1.465,0.789,0.235,0.094,0.142
Greece,2019,5.287,5.382,5.191,1.848,1.181,1.156,0.999,0.067,0.000,0.034
Mongolia,2019,5.285,5.362,5.208,1.550,0.948,1.531,0.667,0.317,0.235,0.038
Macedonia,2019,5.274,5.365,5.182,1.595,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,2019,5.265,5.389,5.140,2.530,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,2019,5.261,5.348,5.173,1.719,0.551,1.438,0.723,0.508,0.300,0.023
Turkmenistan,2019,5.247,5.302,5.191,1.334,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,2019,5.211,5.304,5.119,1.992,1.002,1.160,0.785,0.086,0.073,0.114
Morocco,2019,5.208,5.308,5.108,2.314,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,2019,5.208,5.279,5.136,1.680,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,2019,5.197,5.284,5.110,1.762,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,2019,5.192,5.300,5.085,1.382,0.931,1.203,0.660,0.491,0.498,0.028
China,2019,5.191,5.240,5.141,1.466,1.029,1.125,0.893,0.521,0.058,0.100
Vietnam,2019,5.175,5.247,5.103,1.474,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,2019,5.082,5.196,4.969,1.350,0.813,1.321,0.604,0.457,0.370,0.167
Cameroon,2019,5.044,5.170,4.918,2.649,0.549,0.910,0.331,0.381,0.187,0.037
Bulgaria,2019,5.011,5.098,4.924,1.195,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,2019,4.996,5.137,4.856,2.367,0.611,0.868,0.486,0.381,0.245,0.040
Ivory Coast,2019,4.944,5.072,4.815,2.739,0.569,0.808,0.232,0.352,0.154,0.090
Nepal,2019,4.913,5.031,4.794,1.751,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,2019,4.906,5.019,4.792,1.406,0.837,1.225,0.815,0.383,0.110,0.130
Benin,2019,4.883,5.022,4.745,3.049,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),2019,4.812,4.955,4.668,2.262,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,2019,4.799,4.912,4.687,1.596,1.057,1.183,0.571,0.295,0.043,0.055
Laos,2019,4.796,4.881,4.711,1.473,0.764,1.030,0.551,0.547,0.266,0.164
South Africa,2019,4.722,4.838,4.607,1.369,0.960,1.351,0.469,0.389,0.130,0.055
Albania,2019,4.719,4.829,4.608,1.461,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,2019,4.707,4.835,4.579,1.250,0.960,1.427,0.805,0.154,0.064,0.047
Cambodia,2019,4.700,4.810,4.589,1.465,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,2019,4.696,4.806,4.587,1.727,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,2019,4.681,4.764,4.598,2.009,0.450,1.134,0.571,0.292,0.153,0.072
Somalia,2019,4.668,4.811,4.525,2.629,0.000,0.698,0.268,0.559,0.243,0.270
Namibia,2019,4.639,4.777,4.501,1.443,0.879,1.313,0.477,0.401,0.070,0.056
Niger,2019,4.628,4.765,4.490,2.742,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,2019,4.587,4.695,4.479,2.275,0.331,1.056,0.380,0.255,0.177,0.113
Armenia,2019,4.559,4.652,4.467,1.398,0.850,1.055,0.815,0.283,0.095,0.064
Iran,2019,4.548,4.659,4.437,1.121,1.100,0.842,0.785,0.305,0.270,0.125
Guinea,2019,4.534,4.667,4.402,2.325,0.380,0.829,0.375,0.332,0.207,0.086
Georgia,2019,4.519,4.603,4.435,1.662,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,2019,4.516,4.668,4.365,2.023,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,2019,4.509,4.626,4.391,1.576,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,2019,4.490,4.591,4.389,2.005,0.570,1.167,0.489,0.066,0.106,0.088
Mozambique,2019,4.466,4.642,4.290,2.058,0.204,0.986,0.390,0.494,0.197,0.138
Tunisia,2019,4.461,4.548,4.373,1.444,0.921,1.000,0.815,0.167,0.059,0.055
Bangladesh,2019,4.456,4.538,4.373,1.406,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,2019,4.437,4.610,4.264,1.362,1.043,0.980,0.574,0.241,0.148,0.089
Congo (Kinshasa),2019,4.418,4.543,4.293,2.308,0.094,1.125,0.357,0.269,0.212,0.053
Mali,2019,4.390,4.498,4.283,2.061,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,2019,4.374,4.510,4.238,2.416,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,2019,4.366,4.490,4.242,0.559,0.949,1.265,0.831,0.470,0.244,0.047
Myanmar,2019,4.360,4.442,4.279,0.652,0.710,1.181,0.555,0.525,0.566,0.172
Chad,2019,4.350,4.484,4.215,2.591,0.350,0.766,0.192,0.174,0.198,0.078
Ukraine,2019,4.332,4.430,4.235,1.008,0.820,1.390,0.739,0.178,0.187,0.010
Ethiopia,2019,4.286,4.365,4.206,1.731,0.336,1.033,0.532,0.344,0.209,0.100
Swaziland,2019,4.212,4.392,4.031,1.730,0.811,1.149,0.000,0.313,0.074,0.135
Uganda,2019,4.189,4.319,4.060,1.677,0.332,1.069,0.443,0.356,0.252,0.060
Egypt,2019,4.166,4.252,4.079,1.187,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,2019,4.107,4.232,3.981,1.280,0.578,1.058,0.426,0.431,0.247,0.087
Togo,2019,4.085,4.197,3.972,2.273,0.275,0.572,0.410,0.293,0.177,0.085
India,2019,4.015,4.062,3.968,1.126,0.755,0.765,0.588,0.498,0.200,0.085
Liberia,2019,3.975,4.115,3.836,1.902,0.073,0.922,0.443,0.370,0.233,0.033
Comoros,2019,3.973,4.196,3.749,1.941,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,2019,3.933,4.033,3.833,1.831,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,2019,3.802,3.963,3.641,1.417,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,2019,3.775,3.985,3.565,2.325,0.046,0.447,0.380,0.220,0.176,0.180
Zimbabwe,2019,3.663,3.780,3.546,1.149,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,2019,3.597,3.751,3.443,1.581,0.323,0.688,0.449,0.026,0.419,0.110
Botswana,2019,3.488,3.611,3.365,0.183,1.041,1.145,0.538,0.455,0.025,0.100
Syria,2019,3.462,3.664,3.260,1.541,0.619,0.378,0.440,0.013,0.331,0.141
Malawi,2019,3.410,3.525,3.294,1.413,0.191,0.560,0.495,0.443,0.218,0.089
Yemen,2019,3.380,3.479,3.281,1.139,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,2019,3.334,3.425,3.242,0.467,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,2019,3.231,3.347,3.114,0.531,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,2019,3.203,3.278,3.129,1.793,0.350,0.517,0.361,0.000,0.158,0.025
Central African Republic,2019,3.083,3.227,2.939,2.456,0.026,0.000,0.105,0.225,0.235,0.035
South Sudan,2019,2.853,3.005,2.701,1.374,0.306,0.575,0.295,0.010,0.202,0.091
Finland,2018,7.632,7.695,7.569,2.595,1.305,1.592,0.874,0.681,0.192,0.393
Norway,2018,7.594,7.657,7.530,2.383,1.456,1.582,0.861,0.686,0.286,0.340
Denmark,2018,7.555,7.623,7.487,2.370,1.351,1.590,0.868,0.683,0.284,0.408
Iceland,2018,7.495,7.593,7.398,2.426,1.343,1.644,0.914,0.677,0.353,0.138
Switzerland,2018,7.487,7.570,7.405,2.320,1.420,1.549,0.927,0.660,0.256,0.357
Netherlands,2018,7.441,7.498,7.384,2.448,1.361,1.488,0.878,0.638,0.333,0.295
Canada,2018,7.328,7.421,7.236,2.306,1.330,1.532,0.896,0.653,0.321,0.291
New Zealand,2018,7.324,7.401,7.247,2.156,1.268,1.601,0.876,0.669,0.365,0.389
Sweden,2018,7.314,7.388,7.241,2.217,1.355,1.501,0.913,0.659,0.285,0.383
Australia,2018,7.272,7.358,7.186,2.139,1.340,1.573,0.910,0.647,0.361,0.302
Israel,2018,7.190,7.257,7.123,2.817,1.244,1.433,0.888,0.464,0.262,0.082
Austria,2018,7.139,7.209,7.069,2.319,1.341,1.504,0.891,0.617,0.242,0.224
Costa Rica,2018,7.072,7.160,6.983,2.911,1.010,1.459,0.817,0.632,0.143,0.101
Ireland,2018,6.977,7.055,6.900,1.844,1.448,1.583,0.876,0.614,0.307,0.306
Germany,2018,6.965,7.024,6.905,2.151,1.340,1.474,0.861,0.586,0.273,0.280
Belgium,2018,6.927,6.995,6.859,2.215,1.324,1.483,0.894,0.583,0.188,0.240
Luxembourg,2018,6.910,6.975,6.844,1.769,1.576,1.520,0.896,0.632,0.196,0.321
United States,2018,6.886,6.974,6.798,2.227,1.398,1.471,0.819,0.547,0.291,0.133
United Kingdom,2018,6.814,6.887,6.741,1.912,1.301,1.559,0.883,0.533,0.354,0.272
United Arab Emirates,2018,6.774,6.844,6.704,2.096,1.467,1.296,0.776,0.670,0.284,0.186
